gisjoin,YEAR,STATE,COUNTY,Total Population 2016,Median Age,white %,black %,Amerindian %,asian %,Pacific %,Other %,Multi %,hispanic %,Asian/Pac/Other/Multi?,Bachelor Above %,Median Household Income,2016_votes,County Power Index 2016
G1600190,2012-2016,Idaho,Bonneville County,108989,32.6,0.839580141,0.004275661,0.003037004,0.008165962,0.000706493,0.000458762,0.019754287,0.12402169,0.029085504,0.278374152,52831,44212,0.06423969
G1600210,2012-2016,Idaho,Boundary County,11141,43.4,0.909972175,0.001525895,0.015617988,0.001436137,0,0,0.027196841,0.044250965,0.028632977,0.174701918,39279,5150,0.00748291
G1600230,2012-2016,Idaho,Butte County,2592,45,0.945216049,0.011959877,0.00154321,0,0,0,0.002314815,0.038966049,0.002314815,0.148959474,39653,1230,0.00178718
G1600250,2012-2016,Idaho,Camas County,968,40.3,0.910123967,0,0.003099174,0,0,0,0.002066116,0.084710744,0.002066116,0.205287714,42708,599,0.00087034
G1600270,2012-2016,Idaho,Canyon County,202782,33,0.713258573,0.003664033,0.006351649,0.008057914,0.001597775,0.000320541,0.020470259,0.246279256,0.030446489,0.183544355,44860,72007,0.1046256
G1600290,2012-2016,Idaho,Caribou County,6813,36.8,0.922207544,0.001908117,0.001908117,0,0,0.000587113,0.020108616,0.053280493,0.020695729,0.180684652,57957,3035,0.00440983
G1600310,2012-2016,Idaho,Cassia County,23441,31.8,0.70752101,0.001877053,0.005033915,0.00435135,0.000298622,0.001151828,0.013224692,0.26654153,0.019026492,0.185625684,46215,8178,0.01188257
G1600330,2012-2016,Idaho,Clark County,960,30.3,0.516666667,0.001041667,0,0,0,0,0.009375,0.472916667,0.009375,0.152293578,32422,283,0.0004112
G1600350,2012-2016,Idaho,Clearwater County,8528,50.3,0.912054409,0.002110694,0.019465291,0.006449343,0.003752345,0,0.017589118,0.038578799,0.027790807,0.16827853,40266,3801,0.00552282
G1600370,2012-2016,Idaho,Custer County,4185,52.1,0.957467145,0,0.004062127,0.000238949,0,0,0.006690562,0.031541219,0.00692951,0.261742893,39497,2413,0.00350607
G1600390,2012-2016,Idaho,Elmore County,26103,31.1,0.74037467,0.025207831,0.01356166,0.029421906,0.003218021,0.000459717,0.026701912,0.161054285,0.059801555,0.165632126,44444,8519,0.01237804
G1600410,2012-2016,Idaho,Franklin County,13013,32.8,0.913624837,0.002843311,0.00184431,0.000307385,0.00122954,0,0.013217552,0.066933067,0.014754476,0.195764394,50500,5499,0.00799
G1600430,2012-2016,Idaho,Fremont County,12896,36.9,0.85258995,0.00317928,0.003566998,0.001473325,0.002869107,0.001008065,0.012096774,0.123216501,0.01744727,0.208715877,49973,5714,0.0083024
G1600450,2012-2016,Idaho,Gem County,16853,45.4,0.88197947,0,0.009790542,0.007654424,0.000118673,0,0.01964042,0.080816472,0.027413517,0.1527239,40767,7952,0.01155419
G1600470,2012-2016,Idaho,Gooding County,15157,36.7,0.681401333,0.000791713,0.013327176,0.006465659,0.000461833,0.001517451,0.006531636,0.2895032,0.014976578,0.142782427,40704,5191,0.00754248
G1600490,2012-2016,Idaho,Idaho County,16251,49.3,0.915451357,0.001230693,0.024675405,0.003076734,0.000492277,0,0.023875454,0.03119808,0.027444465,0.168938247,38597,8223,0.01194795
G1600510,2012-2016,Idaho,Jefferson County,27096,31.4,0.871789194,0.000664305,0.004428698,0.001513138,0.001882197,0,0.016017124,0.103705344,0.019412459,0.207820795,54646,11471,0.01666727
G1600530,2012-2016,Idaho,Jerome County,22694,32.4,0.640037014,0.00088129,0.006036838,0.003789548,0.001366,0.000264387,0.011765224,0.335859699,0.017185159,0.142605375,44447,10667,0.01549907
G1600550,2012-2016,Idaho,Kootenai County,147716,39.7,0.912236995,0.003181781,0.012639118,0.006823905,0.000446803,2.03E-05,0.022550028,0.042101059,0.029841046,0.239831014,50924,66286,0.09631303
G1600570,2012-2016,Idaho,Latah County,38593,28.3,0.896976136,0.007099733,0.006426036,0.023035265,0.000647786,0.001347395,0.024071723,0.040395927,0.049102169,0.459377052,42133,18146,0.02636599
G1600590,2012-2016,Idaho,Lemhi County,7743,52.6,0.935167248,0.002066383,0.007619786,0.004391063,0,0.00116234,0.019759783,0.029833398,0.025313186,0.210482251,34762,4068,0.00591077
G1600610,2012-2016,Idaho,Lewis County,3826,47.9,0.864871929,0.000784109,0.048876111,0.007318348,0.00026137,0,0.036069002,0.041819132,0.043648719,0.160147602,38068,1590,0.00231026
G1600630,2012-2016,Idaho,Lincoln County,5292,33.8,0.674981104,0,0.018329554,0.00170068,0,0,0.006991686,0.297996977,0.008692366,0.11825273,44500,1748,0.00253983
G1600650,2012-2016,Idaho,Madison County,38114,23.3,0.894946739,0.005903343,5.25E-05,0.010179986,0.001862833,0.000236134,0.017578842,0.069239649,0.029857795,0.368147867,33856,15687,0.02279309
G1600670,2012-2016,Idaho,Minidoka County,20331,35.4,0.636318922,0.002213369,0.006886036,0.004377552,0,0,0.012345679,0.337858443,0.016723231,0.148811873,46147,6870,0.00998206
G1600690,2012-2016,Idaho,Nez Perce County,39995,41.2,0.874184273,0.003650456,0.055081885,0.008526066,0.000450056,0,0.022377797,0.035729466,0.031353919,0.221977546,49541,17195,0.0249842
G1600710,2012-2016,Idaho,Oneida County,4269,38.9,0.940969782,0,0.004684938,0,0,0,0.016397283,0.037947997,0.016397283,0.163479565,40564,2068,0.00300479
G1600730,2012-2016,Idaho,Owyhee County,11356,37.7,0.681489961,0.001232828,0.02994012,0.001232828,0,0,0.021838676,0.264265587,0.023071504,0.096695226,34785,3920,0.00569573
G1600750,2012-2016,Idaho,Payette County,22773,39.1,0.791727045,0.003820314,0.008650595,0.012558732,0,0.002019936,0.014534756,0.166688623,0.029113424,0.158474004,45670,5703,0.00828641
G1600770,2012-2016,Idaho,Power County,7696,34.7,0.630977131,0.00220894,0.037162162,0,0.000259875,0.002468815,0.003768191,0.323154886,0.006496881,0.153208206,46318,2758,0.00400735
G1600790,2012-2016,Idaho,Shoshone County,12551,47.2,0.921998247,0.003426022,0.017767509,0.004302446,0,0.00015935,0.019520357,0.03282607,0.023982153,0.128221931,37449,5120,0.00743932
G1600810,2012-2016,Idaho,Teton County,10437,35.6,0.80856568,0.001724634,0.002107885,0.001053943,0,0,0.012743125,0.173804733,0.013797068,0.399646851,58173,4966,0.00721556
G1600830,2012-2016,Idaho,Twin Falls County,80955,34.6,0.809140881,0.006312149,0.007275647,0.013476623,0.000716447,0.00014823,0.011796677,0.151133346,0.026137978,0.181448316,45500,31893,0.04634028
G1600850,2012-2016,Idaho,Valley County,9897,48.8,0.977063757,0.000101041,0.001111448,0.001111448,0,0,0.009396787,0.01121552,0.010508235,0.309738079,53630,5349,0.00777205
G1600870,2012-2016,Idaho,Washington County,10035,44.6,0.786846039,0,0.005979073,0.006078724,0,0.003986049,0.023418037,0.173692078,0.03348281,0.154287353,37525,4454,0.00647163
G1700010,2012-2016,Illinois,Adams County,66949,41.1,0.92282185,0.03783477,0.001030635,0.007976221,0.000806584,0.001359244,0.013846361,0.014324336,0.023988409,0.226001561,48065,31770,0.00591149
G1700030,2012-2016,Illinois,Alexander County,7051,41.9,0.610551695,0.338675365,0.004396539,0.002836477,0,0,0.025528294,0.01801163,0.028364771,0.08985025,29071,2820,0.00052472
G1700050,2012-2016,Illinois,Bond County,17137,41.3,0.877924958,0.05280971,0.000992006,0.01266266,0,0.002275778,0.018439634,0.034895256,0.033378071,0.182639237,52159,7462,0.00138847
G1700070,2012-2016,Illinois,Boone County,53656,38.3,0.744818846,0.020314597,0.002963322,0.013232444,0,0.001192784,0.012095572,0.205382436,0.026520799,0.215098152,60063,22604,0.00420596
G1700090,2012-2016,Illinois,Brown County,6836,37.4,0.763897016,0.182562902,0.000292569,0.00702165,0,0.000438853,0.0093622,0.03642481,0.016822703,0.143000603,52500,2336,0.00043466
G1700110,2012-2016,Illinois,Bureau County,33822,43.6,0.888267991,0.006800307,0.001448761,0.007776004,8.87E-05,0.000236532,0.010407427,0.084974277,0.018508663,0.188051795,51425,16303,0.00303352
G1700130,2012-2016,Illinois,Calhoun County,4962,46.7,0.977629988,0.00120919,0.000403063,0.001410721,0,0,0.008867392,0.010479645,0.010278114,0.150420168,52949,2556,0.0004756
G1700150,2012-2016,Illinois,Carroll County,14793,47.7,0.936388833,0.01182992,0.000946394,0.006016359,0.000202799,0.000202799,0.010410329,0.034002569,0.016832286,0.163589365,50052,7354,0.00136837
G1700170,2012-2016,Illinois,Cass County,13068,40.1,0.76691154,0.036501377,0.000382614,0.002831344,0,0.00053566,0.008340986,0.18449648,0.011707989,0.138313526,48887,5054,0.00094041
G1700190,2012-2016,Illinois,Champaign County,206420,29.5,0.688668734,0.124421083,0.001409747,0.101695572,0.000382715,0.001942641,0.025385137,0.056094371,0.129406065,0.439267789,48899,89196,0.01659683
G1700210,2012-2016,Illinois,Christian County,33888,42.5,0.952431539,0.015315156,0.00256728,0.005134561,0.001180359,0.000147545,0.008114967,0.015108593,0.014577432,0.150788354,47417,15310,0.00284875
G1700230,2012-2016,Illinois,Clark County,16089,43.1,0.967990553,0.00422649,0.000372926,0.004350799,0.000621543,0,0.008328672,0.014109019,0.013301013,0.164742729,48693,7819,0.00145489
G1700250,2012-2016,Illinois,Clay County,13466,43.1,0.964725977,0.006237933,0.001633744,0.002747661,0,0,0.011139165,0.013515521,0.013886826,0.147982063,45984,6278,0.00116816
G1700270,2012-2016,Illinois,Clinton County,37858,40.1,0.916371705,0.033572825,0.002535792,0.005467801,0,0.000105658,0.011463891,0.030482329,0.01703735,0.21157737,63929,17268,0.00321308
G1700290,2012-2016,Illinois,Coles County,52802,33.6,0.912749517,0.036513768,0.002272641,0.011230635,0.000340896,0.000776486,0.012935116,0.02318094,0.025283133,0.253250736,38800,21580,0.00401542
G1700310,2012-2016,Illinois,Cook County,5227575,36.1,0.428688445,0.235829424,0.00100429,0.067922698,0.000223239,0.001802939,0.015686432,0.248842532,0.085635309,0.364711528,56902,2055215,0.38241681
G1700330,2012-2016,Illinois,Crawford County,19441,42.5,0.911167121,0.041870274,0.000823003,0.003652076,0.001131629,0,0.020009259,0.021346639,0.024792963,0.171813427,47364,8507,0.00158291
G1700350,2012-2016,Illinois,Cumberland County,10890,41.6,0.969146006,0.001836547,0.002846648,0.003213958,0.001652893,0,0.007070707,0.014233242,0.011937557,0.147703274,44281,5513,0.00102581
G1700370,2012-2016,Illinois,DeKalb County,104458,30.5,0.779988129,0.066897701,0.000469088,0.024651056,0,0.000775431,0.020323958,0.106894637,0.045750445,0.308261771,56076,42605,0.00792757
G1700390,2012-2016,Illinois,De Witt County,16322,43.3,0.950986399,0.002940816,0.000490136,0.000490136,0.000551403,0.000122534,0.020340645,0.024077932,0.021504718,0.204037615,53510,7469,0.00138977
G1700410,2012-2016,Illinois,Douglas County,19770,38,0.90748609,0.002933738,0.002781993,0.006828528,0,0.001618614,0.007587253,0.070763784,0.016034396,0.191092501,52984,8089,0.00150513
G1700430,2012-2016,Illinois,DuPage County,930514,38.9,0.683114924,0.04548024,0.000522292,0.110126231,0.000324552,0.001233727,0.019528992,0.139669043,0.131213501,0.473120415,81521,412929,0.07683429
G1700450,2012-2016,Illinois,Edgar County,17828,44.1,0.972122504,0.004262957,0.001121831,0.003477676,0,0,0.007908907,0.011106125,0.011386583,0.180287894,46440,7783,0.00144819
G1700470,2012-2016,Illinois,Edwards County,6612,43.6,0.968693285,0.003176044,0,0.00907441,0,0,0.009830611,0.00922565,0.018905021,0.12013904,47035,3312,0.00061627
G1700490,2012-2016,Illinois,Effingham County,34356,39.2,0.962859471,0.004395157,0.000349284,0.005966934,0.000320177,0.001076959,0.006170683,0.018861334,0.013534754,0.224797519,52977,17428,0.00324285
G1700510,2012-2016,Illinois,Fayette County,22025,40.4,0.919001135,0.04431328,0.00199773,0.004903519,0,0,0.008853575,0.020930761,0.013757094,0.135671132,44745,9515,0.00177047
G1700530,2012-2016,Illinois,Ford County,13758,43.4,0.947521442,0.008358773,0.003924989,0.004143044,0.000218055,0,0.007195813,0.028637883,0.011556912,0.173817955,49257,6289,0.0011702
G1700550,2012-2016,Illinois,Franklin County,39503,41.9,0.962661064,0.00541731,0.002227679,0.004961648,0.000708807,0,0.008758828,0.015264663,0.014429284,0.152724648,39507,18533,0.00344846
G1700570,2012-2016,Illinois,Fulton County,36047,42.4,0.921297195,0.035675646,0.00141482,0.001997392,0.000582573,0.000665797,0.011124365,0.027242212,0.014370128,0.164347019,46183,15609,0.00290439
G1700590,2012-2016,Illinois,Gallatin County,5325,44.7,0.956995305,0.003192488,0.004319249,0.003192488,0,0.000938967,0.024788732,0.00657277,0.028920188,0.115132442,41269,2691,0.00050072
G1700610,2012-2016,Illinois,Greene County,13390,42.5,0.968185213,0.010978342,0.001867065,0.000448096,0,0,0.007393577,0.011127707,0.007841673,0.111605723,42880,5542,0.00103121
G1700630,2012-2016,Illinois,Grundy County,50338,37.2,0.874349398,0.01416425,0.000476777,0.007131789,0,0.002264691,0.010548691,0.091064405,0.019945171,0.217732681,67162,22891,0.00425936
G1700650,2012-2016,Illinois,Hamilton County,8251,43,0.990183008,0.004969095,0.000969579,0.001211974,0,0,0,0.002666343,0.001211974,0.157295619,45076,4143,0.00077089
G1700670,2012-2016,Illinois,Hancock County,18633,46.4,0.966081683,0.004883808,0.000322009,0.003649439,0.000161005,0,0.011323995,0.01357806,0.015134439,0.195992253,50077,7818,0.00145471
G1700690,2012-2016,Illinois,Hardin County,4173,46.1,0.927869638,0.027558112,0.003594536,0.007428708,0,0,0.016534867,0.017014139,0.023963575,0.113213599,39926,2133,0.00039689
G1700710,2012-2016,Illinois,Henderson County,6966,49.2,0.965116279,0.001004881,0.003158197,0.008039047,0,0.000430663,0.007751938,0.014498995,0.016221648,0.132696804,46216,3480,0.00064753
G1700730,2012-2016,Illinois,Henry County,49681,42.3,0.90946237,0.01757211,0.000744752,0.005535315,0,0.00088565,0.0113323,0.054467503,0.017753266,0.212705978,54757,24232,0.00450888
G1700750,2012-2016,Illinois,Iroquois County,28814,44.3,0.908273756,0.01186923,0.000416464,0.004893455,0,0.001735268,0.00940515,0.063406677,0.016033872,0.146182679,47823,12923,0.0024046
G1700770,2012-2016,Illinois,Jackson County,59188,30.8,0.749797256,0.140856255,0.002314658,0.035598432,0,0.001402311,0.028468609,0.041562479,0.065469352,0.35905256,33845,24509,0.00456042
G1700790,2012-2016,Illinois,Jasper County,9592,42.8,0.973936614,0.006672227,0.001355296,0.00145955,0,0,0.003753128,0.012823186,0.005212677,0.182646356,56305,5104,0.00094971
G1700810,2012-2016,Illinois,Jefferson County,38523,40.9,0.860940218,0.082496171,0.001194092,0.011499624,0,0.000571087,0.019988059,0.023310749,0.03205877,0.164297706,43467,16818,0.00312935
G1700830,2012-2016,Illinois,Jersey County,22441,42.4,0.962033778,0.002851923,0.001604207,0.005748407,0.000935787,0,0.01412593,0.012699969,0.020810124,0.183803045,52738,10909,0.00202985
G1700850,2012-2016,Illinois,Jo Daviess County,22186,48.6,0.949698008,0.004011539,0.001216984,0.005048229,0.000721176,0.000315514,0.009600649,0.029387902,0.015685567,0.241017137,54702,11177,0.00207972
G1700870,2012-2016,Illinois,Johnson County,12866,42.9,0.859863205,0.094434945,0.001088139,0.002254003,0,0.00147676,0.006995181,0.033887766,0.010725944,0.166684498,44179,6017,0.00111959
G1700890,2012-2016,Illinois,Kane County,526615,36.2,0.579833465,0.05356285,0.001023518,0.037140985,0.00015761,0.001484956,0.013258263,0.313538353,0.052041814,0.321041401,71602,193500,0.03600482
G1700910,2012-2016,Illinois,Kankakee County,111493,37.4,0.723265138,0.15052963,0.002089817,0.010664347,0.000116599,0.000959702,0.013938095,0.098436673,0.025678742,0.189578531,54697,46556,0.00866274
G1700930,2012-2016,Illinois,Kendall County,121452,34.4,0.719551757,0.063605375,0.000370517,0.031460989,0,0.000255245,0.015075915,0.169680203,0.046792148,0.342718191,85736,50815,0.00945522
G1700950,2012-2016,Illinois,Knox County,51752,42.1,0.837764724,0.08198717,0.000405781,0.010511671,0,0.003246251,0.012405318,0.053679085,0.02616324,0.180698835,40605,21964,0.00408687
G1700970,2012-2016,Illinois,Lake County,702890,37.8,0.633766308,0.066394457,0.000906258,0.068534195,0.000441036,0.001263356,0.020115523,0.208578867,0.090354109,0.436961577,79886,293574,0.05462574
G1700990,2012-2016,Illinois,LaSalle County,111935,41.8,0.86528789,0.023486845,0.001795685,0.006736052,0.000339483,3.57E-05,0.011855094,0.090463215,0.018966364,0.169634718,51684,48447,0.0090146
G1701010,2012-2016,Illinois,Lawrence County,16582,39.6,0.771499216,0.162344711,0.00199011,0.002593173,0,0.001809191,0.011156676,0.048606923,0.01555904,0.101481665,42650,6039,0.00112369
G1701030,2012-2016,Illinois,Lee County,34718,42.7,0.870441846,0.050348522,0.002016245,0.006221557,0.001757014,0.000547267,0.011377383,0.057290166,0.01990322,0.177114348,55067,15215,0.00283108
G1701050,2012-2016,Illinois,Livingston County,37278,41.2,0.892537153,0.043296314,0.000402382,0.006840496,0,2.68E-05,0.013922421,0.042974409,0.020789742,0.152123049,54074,15096,0.00280893
G1701070,2012-2016,Illinois,Logan County,29820,40,0.791750503,0.101576123,0.003219316,0.006002683,0.000469484,0.001006036,0.062608987,0.033366868,0.07008719,0.183748449,52676,12130,0.00225705
G1701090,2012-2016,Illinois,McDonough County,31727,30.7,0.883254011,0.051690989,0.001512907,0.020046018,0,6.30E-05,0.016736534,0.026696505,0.036845589,0.335425079,41484,12910,0.00240218
G1701110,2012-2016,Illinois,McHenry County,307083,39.6,0.823230202,0.01224099,0.000381004,0.026383746,0.000117232,0.001123475,0.013667315,0.122856036,0.041291768,0.332465035,79836,140145,0.02607698
G1701130,2012-2016,Illinois,McLean County,173254,32.6,0.799600586,0.079674928,0.001165918,0.049291791,0.000219331,0.004132661,0.019122214,0.04679257,0.072765997,0.445298334,63420,78995,0.01469871
G1701150,2012-2016,Illinois,Macon County,108404,40.7,0.769621047,0.140253127,0.002592155,0.011752334,1.84E-05,0.001282241,0.053402088,0.021078558,0.066455112,0.228062595,47477,47283,0.00879802
G1701170,2012-2016,Illinois,Macoupin County,46482,43,0.964287251,0.005464481,0.001075685,0.004367282,6.45E-05,0.000193623,0.014091476,0.01045566,0.018716923,0.182479743,52337,21881,0.00407143
G1701190,2012-2016,Illinois,Madison County,266759,39.7,0.857912948,0.08225402,0.001765639,0.008921911,0.000333634,0.000468588,0.017855068,0.030488193,0.027579201,0.256644103,54573,127902,0.02379891
G1701210,2012-2016,Illinois,Marion County,38503,41.6,0.917305145,0.035166091,0.001766096,0.008129237,0,0.000493468,0.019297198,0.017842766,0.027919902,0.150293807,43427,16600,0.00308879
G1701230,2012-2016,Illinois,Marshall County,12060,46.4,0.950414594,0.003648425,0.002072968,0.003565506,0.000414594,0,0.00920398,0.030679934,0.01318408,0.161335027,54189,5903,0.00109838
G1701250,2012-2016,Illinois,Mason County,13931,45.1,0.966908334,0.007465365,0.000717824,0.004306941,0.000646041,0.000143565,0.0097624,0.01004953,0.014858948,0.143057504,43125,6433,0.001197
G1701270,2012-2016,Illinois,Massac County,14883,44,0.889471209,0.064167171,0.000604717,0.004165827,0,0.000403145,0.015588255,0.025599677,0.020157226,0.13330805,42706,6633,0.00123421
G1701290,2012-2016,Illinois,Menard County,12576,42.6,0.959764631,0.006917939,0.002385496,0.004452926,0.002226463,0.000477099,0.010019084,0.013756361,0.017175573,0.239224138,60420,6423,0.00119514
G1701310,2012-2016,Illinois,Mercer County,15971,44.8,0.960177822,0.005447373,0.000813975,0.002942834,0,0,0.009579864,0.021038132,0.012522697,0.175275938,55750,8417,0.00156616
G1701330,2012-2016,Illinois,Monroe County,33703,42.3,0.966649853,0.002937424,0.000504406,0.006913331,0,0,0.008307866,0.01468712,0.015221197,0.297809103,72956,19074,0.00354913
G1701350,2012-2016,Illinois,Montgomery County,29301,42.4,0.887956043,0.080099655,0.001808812,0.002525511,0.000375414,0,0.010238558,0.016996007,0.013139483,0.138699365,45173,12829,0.00238711
G1701370,2012-2016,Illinois,Morgan County,34801,41.1,0.892445619,0.058101779,0.000545961,0.006091779,0,0,0.019970691,0.022844171,0.026062469,0.206373672,47760,14607,0.00271795
G1701390,2012-2016,Illinois,Moultrie County,14915,40.7,0.972779082,0.003620516,0.001676165,0.001206839,0,0,0.009319477,0.011397922,0.010526316,0.170573173,51432,6209,0.00115532
G1701410,2012-2016,Illinois,Ogle County,52034,41.8,0.87698428,0.009570665,0.000442019,0.00417035,3.84E-05,0,0.012895415,0.095898835,0.017104201,0.198378424,55832,23798,0.00442813
G1701430,2012-2016,Illinois,Peoria County,186818,36.9,0.708133049,0.172162211,0.002949395,0.037614149,5.89E-05,0.002344528,0.032009764,0.044728024,0.072027321,0.297975813,51632,77465,0.01441402
G1701450,2012-2016,Illinois,Perry County,21595,41.6,0.864737208,0.084417689,0.001250289,0.005695763,0,0.000972447,0.013382727,0.029543876,0.020050938,0.133809742,43308,9706,0.00180601
G1701470,2012-2016,Illinois,Piatt County,16469,43.3,0.966543202,0.003946809,0.000303601,0.004614731,0,0,0.012022588,0.012569069,0.016637319,0.298635107,69160,8899,0.00165585
G1701490,2012-2016,Illinois,Pike County,16054,42.5,0.955898841,0.012333375,0.006104398,0.003239068,0,0.000622898,0.009218886,0.012582534,0.013080852,0.153468001,40157,7458,0.00138772
G1701510,2012-2016,Illinois,Pope County,4255,50.6,0.909988249,0.047003525,0.003055229,0.011045828,0,0,0.009165687,0.019741481,0.020211516,0.137423313,39243,2132,0.0003967
G1701530,2012-2016,Illinois,Pulaski County,5792,43.5,0.63484116,0.312154696,0.002417127,0.002417127,0,0.002071823,0.026588398,0.019509669,0.031077348,0.110315893,32538,2473,0.00046015
G1701550,2012-2016,Illinois,Putnam County,5746,46.4,0.928994083,0.00295858,0,0.003654716,0,0,0.014444831,0.04994779,0.018099548,0.143982808,64085,3076,0.00057236
G1701570,2012-2016,Illinois,Randolph County,32934,41.4,0.852310682,0.104512054,0.001578915,0.003370377,0,0.000425093,0.007924941,0.029877938,0.011720411,0.129947037,48343,14032,0.00261095
G1701590,2012-2016,Illinois,Richland County,16072,42.1,0.958063713,0.005662021,0.00273768,0.006533101,0,0.00012444,0.011635142,0.015243902,0.018292683,0.205856017,45597,7630,0.00141973
G1701610,2012-2016,Illinois,Rock Island County,146536,40.1,0.733294208,0.092373205,0.002320249,0.022567833,0.000300268,0.001078233,0.024601463,0.123464541,0.048547797,0.220411979,50208,62971,0.0117171
G1701630,2012-2016,Illinois,St. Clair County,265569,37.8,0.623916948,0.297353983,0.001649289,0.01363864,0.000256054,0.00097903,0.024520934,0.037685121,0.039394658,0.261447113,50006,119201,0.0221799
G1701650,2012-2016,Illinois,Saline County,24659,42,0.917636563,0.033699663,0.002352082,0.006366844,0.000364978,0,0.023155846,0.016424024,0.029887668,0.159811507,40290,11234,0.00209033
G1701670,2012-2016,Illinois,Sangamon County,198639,39.9,0.810586038,0.125287582,0.000775276,0.01750915,0.00034233,0.004092852,0.020177307,0.021229467,0.042121638,0.343195136,56742,96472,0.01795068
G1701690,2012-2016,Illinois,Schuyler County,7205,45.5,0.938792505,0.048438584,0.000971548,0,0,0,0.00888272,0.002914643,0.00888272,0.188928107,48396,3792,0.00070558
G1701710,2012-2016,Illinois,Scott County,5169,43.3,0.972141614,0,0.00386922,0.001354227,0,0,0.011027278,0.011607661,0.012381505,0.120945575,46210,2583,0.00048062
G1701730,2012-2016,Illinois,Shelby County,22011,44.4,0.975057926,0.006269592,0.001953569,0.003498251,0,0,0.003634546,0.009586116,0.007132797,0.151920615,48572,10912,0.00203041
G1701750,2012-2016,Illinois,Stark County,5840,46.2,0.964554795,0.007191781,0,0.005821918,0,0,0.009760274,0.012671233,0.015582192,0.16722488,52058,2707,0.0005037
G1701770,2012-2016,Illinois,Stephenson County,46283,44.6,0.83795346,0.09258259,0.000475337,0.008383208,0,0.000756217,0.025538535,0.034310654,0.03467796,0.178628438,45624,19525,0.00363304
G1701790,2012-2016,Illinois,Tazewell County,135400,40.6,0.943249631,0.012001477,0.001787297,0.00929099,0.000236337,0.000413589,0.010901034,0.022119645,0.02084195,0.250111619,60178,63347,0.01178707
G1701810,2012-2016,Illinois,Union County,17458,43.7,0.914136785,0.004811548,0.000458243,0.004353305,0,0.003895062,0.022912132,0.049432925,0.031160499,0.212951134,45464,8514,0.00158421
G1701830,2012-2016,Illinois,Vermilion County,79613,40.1,0.791843041,0.136422444,0.002336302,0.008943263,0.000339141,0.000514991,0.012573323,0.047027496,0.022370718,0.139595178,43552,29799,0.00554474
G1701850,2012-2016,Illinois,Wabash County,11587,42.6,0.953137136,0.010097523,0.001035643,0.012514024,0,0,0.00595495,0.017260723,0.018468974,0.171769978,46871,5402,0.00100516
G1701870,2012-2016,Illinois,Warren County,17611,39.9,0.849469082,0.027596389,0.000283913,0.021690989,0,0,0.010391233,0.090568395,0.032082221,0.219366563,44067,7700,0.00143275
G1701890,2012-2016,Illinois,Washington County,14369,42.8,0.96262788,0.008003341,0.000904725,0.004662816,0.000208783,6.96E-05,0.009047255,0.014475607,0.013988447,0.208735498,54936,7376,0.00137246
G1701910,2012-2016,Illinois,Wayne County,16517,42.7,0.965369014,0.006659805,0.001634679,0.007749591,0,0,0.010958406,0.007628504,0.018707998,0.139770075,46903,8256,0.00153621
G1701930,2012-2016,Illinois,White County,14410,44.5,0.968285913,0.003261624,0.001040944,0.002845246,0.000971548,0.000138793,0.010409438,0.013046495,0.014365024,0.137249172,43678,7289,0.00135627
G1701950,2012-2016,Illinois,Whiteside County,57155,42.8,0.849986878,0.017198845,0.001557169,0.004216604,0,0.001259732,0.009098067,0.116682705,0.014574403,0.172680153,49151,25210,0.00469086
G1701970,2012-2016,Illinois,Will County,685378,37,0.652295522,0.109961219,0.00087397,0.050919347,0.0001532,0.001178911,0.01948268,0.165135152,0.071734138,0.334545512,77507,291010,0.05414865
G1701990,2012-2016,Illinois,Williamson County,67336,40.9,0.904434478,0.041537959,0.001960318,0.009875847,0.000267316,0.000460378,0.017227041,0.024236664,0.027830581,0.220750925,45902,31422,0.00584674
G1702010,2012-2016,Illinois,Winnebago County,288896,39.3,0.707067595,0.122995819,0.00076152,0.025050537,8.65E-05,0.001772264,0.02305674,0.119208989,0.049966078,0.224091849,49468,113027,0.0210311
G1702030,2012-2016,Illinois,Woodford County,39123,40,0.957927562,0.005112082,0.000357846,0.007821486,0,0,0.011732229,0.017048795,0.019553715,0.304421507,68040,19389,0.00360774
G1800010,2012-2016,Indiana,Adams County,34813,33.7,0.937408439,0.007095051,0.000430874,0.003475713,0,0.002412892,0.005141757,0.044035274,0.011030362,0.156097794,47572,13039,0.00479018
G1800030,2012-2016,Indiana,Allen County,365565,35.6,0.749237482,0.113309535,0.001414249,0.033449592,0.000361085,0.0023662,0.029258819,0.070603039,0.065435695,0.273697055,49574,145787,0.05355821
G1800050,2012-2016,Indiana,Bartholomew County,80203,37.9,0.838946174,0.018976846,0.002556014,0.057167438,0.001284241,0.003765445,0.013977033,0.063326808,0.076194157,0.296759302,55874,32389,0.01189884
G1800070,2012-2016,Indiana,Benton County,8709,40.5,0.92857963,0.009071076,0.000229647,0.002066827,0,0,0.008496957,0.051555862,0.010563785,0.170610425,48069,3654,0.00134238
G1800090,2012-2016,Indiana,Blackford County,12364,43.4,0.959236493,0.006065998,0.00088968,0.003073439,0,0.00016176,0.016337755,0.014234875,0.019572954,0.109655172,38791,4822,0.00177147
G1800110,2012-2016,Indiana,Boone County,61884,38.9,0.920851917,0.013040527,0.001712882,0.024190421,0,0.001260423,0.013040527,0.025903303,0.038491371,0.445145452,72774,32061,0.01177835
